Título,Año,Género,Rating (pro),Votos
Savage Souls,2001,"Drama,Romance",5.6,1943.0
Get Santa,2014,"Comedy,Family,Fantasy",6.3,5382.0
Tiger Milk,2017,Drama,6.1,771.0
Faith of Our Fathers,1997,,6.0,17.0
Yeh Kaise Hua,1984,,,
Untitle Tamara Klink Documentary,,Documentary,,
Bullit & Riper,2003,Comedy,6.0,2945.0
Cardinal Matter,2016,"Action,Crime,Thriller",4.0,170.0
Bal Naren,2024,Drama,6.3,25.0
So fallen die Lose des Lebens,1918,,,
Bauhaus in America,1995,"Documentary,History",,
Kamikaze ryukitai: kôhen,1937,Drama,,
The Circle of Death,1935,"Drama,Western",4.8,30.0
Found Betty,2012,Comedy,7.6,12.0
No Loose Ends,2024,Crime,7.3,11.0
The Nutcracker and the Mouse King,2011,Music,7.2,22.0
Soldiers' Sanctuary,2014,"Action,Documentary,History",,
From the Dust of the Earth,2016,Documentary,8.4,8.0
Begging Your Pardon,2006,Comedy,7.5,11.0
Brother and Sister,2010,"Comedy,Drama",6.4,830.0
Brood,2009,"Horror,Thriller",7.5,23.0
There's a Zombie in Cavan,,Horror,,
Psychic Storm,2025,Thriller,4.0,33.0
Hotel Houffer,2024,"Drama,Horror",,
Gondolj rám,2016,,,
Janani Janma Bhoomi,1997,,,
Amazing Graves,2017,Documentary,,
Dhadak,1998,Romance,7.3,11.0
Home Front,,Drama,,
Cantinflas profesor de historia,1983,Animation,7.0,13.0
Hito no michi,1921,,,
Dongeng Sang Kancil,2024,"Adventure,Animation,Comedy",6.8,276.0
A Positive Peace,,"Documentary,Drama,Music",,
The Sun Beyond the Sun,,Drama,,
Wenn Männer schweigen,1924,Comedy,,
Light the Gas,,Comedy,,
Burning Fire,2023,,6.8,26.0
Karachi,1989,"Crime,Drama,Thriller",4.6,66.0
The House of Angelo,2000,"Drama,History",6.9,59.0
"Ouaga, c'est pas forcé !",2012,Documentary,,
Abeyance,,Thriller,,
Untitled Coherence Sequel,,Sci-Fi,,
Takkan lari gunung dikedjar,1965,,,
Out and About Movie 2: Las Vegas Adventure,2019,"Comedy,Documentary",6.6,171.0
Plan C-14 II,2018,Documentary,,
Deciphering Me,2015,"Action,Drama",8.5,874.0
Kadakti Bijli,1936,,,
Goryachaya dusha,1960,Drama,5.6,22.0
Yûkyo burai,1963,"Action,Crime",,
Brilliant City,,"Adventure,Comedy,Western",,
Outlaws,1985,"Action,Crime,Drama",5.7,148.0
This African Life,2008,Documentary,,
Meduza,2025,Documentary,,
Ten Pieces II,2015,Music,7.7,16.0
Big Bang,2007,"Action,Comedy,Crime",6.6,442.0
Comrade Couture,2009,Documentary,7.3,59.0
Wasurenai Fukushima,2013,"Documentary,News",,
How to Train Your Husband or (How to Pick Your Second Husband First),2018,Comedy,4.7,1053.0
One Night,1931,Drama,5.2,33.0
Wege zur guten Ehe,1933,Comedy,,
My Name Is Now,2018,"Biography,Documentary",6.6,52.0
Affairs of Dr. Holl,1951,Drama,6.9,46.0
Beauty Cult,1930,"Comedy,Musical,Romance",,
Seifenblasen,1984,Comedy,1.7,19.0
God Is Bad at Bowling,2014,Comedy,6.0,186.0
Nights of Love,1930,Comedy,6.5,60.0
Château Secrets,,"Drama,History",,
Christmas Comes Home,2020,"Comedy,Drama,Romance",5.8,460.0
Nerawareta onnatachi,1966,,,
Utopia,1998,Documentary,6.1,54.0
Bandits,2001,"Action,Comedy,Crime",6.5,74454.0
Joseph and Potiphar's Wife,1956,"Drama,History",6.0,13.0
Râkugoyarô-Daibakushô,1967,Comedy,,
Waywaya,1982,"Action,Drama",,
Kim Swims,2017,"Adventure,Biography,Documentary",7.1,134.0
A critical review of conventional models of depression and alternative approaches to studying emotional behaviour in non-human species,2023,Documentary,,
Slate,2020,Action,5.3,357.0
Lady into Fox,,"Drama,Music",,
"Düstere Schatten, strahlendes Glück",1924,,,
Gallos de pelea,1969,"Action,Adventure",5.4,5.0
Mary Pickford: Love Wild,2024,"Biography,Drama",6.6,9.0
Der Adler vom Velsatal,1957,"Drama,Romance",4.9,40.0
The Tormented,,Family,,
La Familia del Barrio: La Maldición del Quinto Partido,2026,"Animation,Comedy",7.5,38.0
Dr. Mekam,2018,"Comedy,Drama",,
Transformación,2016,,,
"Florentina Hubaldo, CTE",2012,Drama,7.4,332.0
"Sea, No Sex & Sun",2012,Comedy,4.4,199.0
"Bigfoot in Texas, the Movie",,"Action,Horror,Thriller",,
The Sacrifice,2024,"Drama,Horror",,
The Prime Ministers: The Pioneers,2013,Documentary,6.7,70.0
Asesino Silencioso,2017,Drama,,
Strange Triangle,1946,"Adventure,Crime,Drama",6.2,168.0
Foot Show,1989,,,
The Two Faces of Love,1972,Drama,5.2,125.0
I Was Saddam's Son,2013,"Biography,Crime,Drama",7.0,19.0
Traffickers,2015,"Crime,Drama,Thriller",8.1,61.0
Zombie Zero,,Thriller,,
Julia,2008,"Crime,Drama,Thriller",7.0,7226.0
Marathon Man,1976,"Crime,Drama,Thriller",7.4,75600.0
Buenos Aires tango,1982,Musical,,
All Souled Out,2017,Comedy,,
The Junkfood Generation,1999,,,
The Puppet Crown,1915,Drama,,
Little Simz at Sónar Festival,2018,Music,,
El cafre,1986,"Action,Adventure,Drama",6.6,43.0
Erózió,1992,Drama,5.3,19.0
Girls Gone Wild: Best of Sex Starved College Girls,2008,Adult,,
Brothers,2016,"Action,Drama,War",4.7,30.0
The Final Scene,2021,Documentary,7.0,6.0
