Título,Año,Género,Rating (pro),Votos,Categoría_Rating
The Armenian Job,2025.0,"Action,Adventure,Comedy",8.2,13.0,Alto
Trigger Happy,2025.0,"Comedy,Crime,Thriller",4.1,473.0,Bajo
Tomie: Unlimited,2011.0,Horror,4.8,1084.0,Bajo
Transformers One,2024.0,"Action,Adventure,Animation",7.6,66112.0,Alto
Good Cake Bad Cake: The Story of LIR,2011.0,Documentary,7.9,15.0,Alto
Abolition,2015.0,Drama,7.0,9.0,Alto
Joe Frazier: When the Smoke Clears,2011.0,"Biography,Documentary,Sport",7.3,45.0,Alto
Haq,2025.0,Drama,7.8,16293.0,Alto
Moti Sethani,2025.0,Family,9.0,48.0,Alto
Marvelous and the Black Hole,2021.0,"Comedy,Drama",6.2,2526.0,Medio
Vai no Batalha!,2023.0,Documentary,7.1,16.0,Alto
Business of Betrayal,2022.0,"Action,Thriller",5.2,20.0,Medio
Glasses,2007.0,"Comedy,Drama",7.1,2052.0,Alto
Dukhtar,2014.0,"Drama,Thriller",6.9,2558.0,Medio
The Future of the Monarchy,2024.0,Documentary,4.5,30.0,Bajo
Plunge: The Movie,2003.0,Drama,6.2,150.0,Medio
A Sunburnt Christmas,2020.0,Comedy,6.8,965.0,Medio
Seda Mawathe,2020.0,"Action,Drama",5.7,21.0,Medio
Aatkal Thevai,2021.0,Drama,5.4,30.0,Medio
Vaan Moondru,2023.0,"Drama,Romance",6.2,161.0,Medio
The Salvation Poem,2009.0,Drama,4.7,115.0,Bajo
Jai Jai Maharashtra Majha,2012.0,Drama,7.3,18.0,Alto
Real Time: Siege at Lucas Street Market,2001.0,"Crime,Thriller",5.5,56.0,Medio
Mad Dogs,2016.0,Documentary,8.5,11.0,Alto
Hotel Colón,2022.0,Comedy,4.2,28.0,Bajo
Paradise,2016.0,"Comedy,Drama,Romance",4.0,721.0,Bajo
Heterosexual Jill,2013.0,Comedy,5.3,206.0,Medio
Sve si u pravu,2024.0,Drama,8.2,6.0,Alto
Alaska.de,2000.0,"Drama,Romance,Thriller",6.4,480.0,Medio
Rascal,2020.0,"Drama,Thriller",5.8,269.0,Medio
